genbank_acc,nic_location,query_index,mob,mob_subgroup,q-value,E-value
NC_019985,14068,64,Q,2,6.940337192864722e-36,0.00549617291606664
NC_023031,66764,69,Q,u,8.489216903438727e-36,0.0008238732225370019
NC_023322,13705,64,Q,2,8.489216903438727e-36,0.0009094113866928064
NC_023322,12000,64,Q,2,8.489216903438727e-36,0.0002121584763017137
NC_023322,12512,64,Q,2,8.586430532896101e-36,0.00549617291606664
NZ_CM001802,15261,64,Q,2,8.586430532896101e-36,0.0009094113866928064
NZ_CM001802,13556,64,Q,2,8.586430532896101e-36,0.0002121584763017137
NZ_CM001802,14068,64,Q,2,8.586430532896101e-36,0.00549617291606664
NC_019323,3644,64,Q,2,8.586430532896101e-36,0.0002121584763017137
NC_019323,4156,64,Q,2,8.586430532896101e-36,0.00549617291606664
NC_019268,15261,64,Q,2,8.586430532896101e-36,0.0009094113866928064
NC_019268,13556,64,Q,2,8.586430532896101e-36,0.0002121584763017137
NC_019268,14068,64,Q,2,8.586430532896101e-36,0.00549617291606664
NC_019281,15261,64,Q,2,8.586430532896101e-36,0.0009094113866928064
NC_019281,13556,64,Q,2,8.586430532896101e-36,0.0002121584763017137
NC_019281,14068,64,Q,2,8.586430532896101e-36,0.00549617291606664
NZ_AGFH01000030,21961,64,Q,2,8.586430532896101e-36,0.0009094113866928064
NZ_AGFH01000030,20256,64,Q,2,8.586430532896101e-36,0.0002121584763017137
NZ_AGFH01000030,20768,64,Q,2,8.586430532896101e-36,0.00549617291606664
NC_013546,758,62,Q,1,9.728531137503511e-36,2.395302609848162e-53
NC_005312,3957,61,Q,1,1.0835145515834206e-35,3.926995356005379e-69
NC_009476,8276,69,Q,u,1.4524669351149828e-35,0.0009769231197361444
NC_006143,1704,50,F,u,1.7664089851814995e-35,0.008004982515728577
NC_006143,70897,69,Q,u,1.8706334703202163e-35,0.001448306192806044
NC_016852,8506,72,Q,u,2.749766948684193e-35,0.0053267263664531295
NC_011207,3663,50,F,u,3.3808495187110296e-35,0.007422674011949091
NC_019380,105541,31,V,2,3.57467803235421e-35,0.008362967088690634
NC_019380,104661,50,F,u,5.521989126992144e-35,0.001273680171099449
NC_019380,130423,50,F,u,5.521989126992144e-35,0.005039185987314897
NC_019380,102626,64,Q,2,5.521989126992144e-35,0.0009444095882879957
NC_012885,120227,69,Q,u,5.704706889974079e-35,0.0009769231197361444
NC_012885,119932,69,Q,u,5.726039391259393e-35,0.004535867792996217
NC_012885,79502,107,V,u,7.669670781844497e-35,0.009163478974010741
NC_010919,1704,50,F,u,8.386881431535393e-35,0.008004982515728577
NC_009349,153999,50,F,u,1.0453749742520906e-34,0.005566220259323133
NC_009349,83604,64,Q,2,1.0453749742520906e-34,0.004820148160537844
NC_009350,95345,24,Q,2,1.0453749742520906e-34,0.005787092014511301
NC_009350,70591,27,Q,u,1.144736344070185e-34,0.005067110645816547
NC_009350,131489,31,V,2,1.685544390443543e-34,0.00835719215050775
NC_009350,106851,31,V,2,1.7004985419315738e-34,0.0067726773710431645
NC_009350,107383,50,F,u,1.8617170434960287e-34,0.0007419256531207506
NC_009350,93382,50,F,u,4.221749897340878e-34,0.009010738529844593
NC_009350,82216,60,Q,1,5.916660334610312e-34,0.007806572325718319
NC_009350,29224,64,Q,2,5.916660334610312e-34,0.004551561211314528
NC_009350,72425,64,Q,2,8.215248137042641e-34,0.009385564263479678
NC_009350,58463,72,Q,u,1.790030936136439e-33,0.009693048542615192
NC_014629,4416,11,P,4,9.31794141410982e-33,1.0492050872680072e-37
NC_014629,4488,11,P,4,1.237514878291316e-32,1.3242207465407289e-09
NC_021724,5386,11,P,4,1.237514878291316e-32,3.15689682026405e-44
NC_021724,5458,11,P,4,1.237514878291316e-32,4.5327356084698e-07
NC_002579,2864,11,P,4,1.237514878291316e-32,2.503573740542441e-36
NC_003064,238388,13,P,5,1.8675542893115955e-32,0.008559736341764913
NC_003064,367760,21,Q,2,2.596371441799325e-32,0.001985913772444764
NC_003064,418683,24,Q,2,3.6596018369633795e-32,0.0001364458677636402
NC_003064,116137,25,Q,2,4.5569216815346303e-32,3.7954247707603134e-29
NC_003064,107373,31,V,2,6.756818770310257e-32,0.0006043108442870734
NC_003064,514879,31,V,2,7.670332652539932e-32,0.0006662855393050631
NC_003064,315675,31,V,2,9.297952994606136e-32,0.003999082721707704
